Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract,Bucketeer State,IIIF Access URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmq9f,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmq9f%2Ffg84ft49,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Lorre, Peter","Nugent, Elliott, $d 1896-1980",,"Hope Enterprises, Inc.|~|Dare, Daniel, 1905-1996",,,Paramount Pictures Corporation,,My Favorite Brunette (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 641_ 12_ 5,1 photograph : b&w,8 x 10 in.,Peter Lorre in My Favorite Brunette,1946-7-15/1946-9,,[between 15 Jul 1946 and mid-Sep 1946],,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmq9f/0q59m90f,ark:/21198/zz001nmq9f,,,Page,mpstills/masters/21198-zz001nmq9f_1692534_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmq9f/fg84ft49,ark:/21198/zz001nmq9f,,,Page,mpstills/masters/21198-zz001nmq9f_1692531_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqbz,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmqbz%2F06245d8w,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Hope, Bob, $d 1903-2003","Nugent, Elliott, 1896-1980",,"Hope Enterprises, Inc.|~|Dare, Daniel, 1905-1996",,,Paramount Pictures Corporation,,My Favorite Brunette (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 641_ 12_ 6,1 photograph : b&w,8 x 10 in.,Bob Hope in My Favorite Brunette,1946-7-15/1946-9,,[from 15 Jul to mid-Sep 1946],,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqbz/06245d8w,ark:/21198/zz001nmqbz,,,Page,mpstills/masters/21198-zz001nmqbz-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqbz/fh847r6z,ark:/21198/zz001nmqbz,,,Page,mpstills/masters/21198-zz001nmqbz_1692582_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqcg,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmqcg%2F1m38df15,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Hope, Bob, $d 1903-2003","Nugent, Elliott, $d 1896-1980",,"Hope Enterprises, Inc.|~|Dare, Daniel, 1905-1996",,,Paramount Pictures Corporation,,My Favorite Brunette (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 641_ 12_ 7,1 photograph : b&w,8 x 10 in.,Bob Hope in My Favorite Brunette,1946-7-15/1946-9,,[between 15 Jul 1946 and mid-Sep 1946],,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqcg/1m38df15,ark:/21198/zz001nmqcg,,,Page,mpstills/masters/21198-zz001nmqcg_1692516_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqcg/dk53096x,ark:/21198/zz001nmqcg,,,Page,mpstills/masters/21198-zz001nmqcg_1692519_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqfh,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmqfh%2F8s735t7k,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Lamour, Dorothy, 1914-|~|Hope, Bob, $d 1903-2003|~|Lorre, Peter","Nugent, Elliott, $d 1896-1980",,"Hope Enterprises, Inc.|~|Dare, Daniel, 1905-1996",,,Paramount Pictures Corporation,,My Favorite Brunette (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 641_ 12_ 9,1 photograph : b&w,8 x 10 in.,"Dorothy Lamour, Bob Hope, Peter Lorre and unidentified cast member in My Favorite Brunette",1946-7-15/1946-9,,[between 15 Jul 1946 and mid-Sep 1946],,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqfh/8s735t7k,ark:/21198/zz001nmqfh,,,Page,mpstills/masters/21198-zz001nmqfh-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqfh/nm44pm9j,ark:/21198/zz001nmqfh,,,Page,mpstills/masters/21198-zz001nmqfh-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqg1,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmqg1%2Fz096554p,individuals,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Mitchum, Robert |~|Gardner, Ava, 1922-1990","Stevenson, Robert, 1905-1986",,"RKO Radio Pictures|~|Banks, Polan, 1906-1984",,,RKO Radio Pictures,,My Forbidden Past (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 642_ 12_ 1,1 photograph : b&w,8 x 10 in.,Ava Gardner and Robert Mitchum in My Forbidden Past,1949-10-03/1949-11-16,,[between 3 Oct and 16 Nov 1949],,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqg1/pd06p30b,ark:/21198/zz001nmqg1,,,Page,mpstills/masters/21198-zz001nmqg1_1692622_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqg1/z096554p,ark:/21198/zz001nmqg1,,,Page,mpstills/masters/21198-zz001nmqg1_1692618_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqhj,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmqhj%2F0k66vd2k,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Mitchum, Robert |~|Watson, Lucile, $d 1879-1962|~|Gardner, Ava, 1922-1990","Stevenson, Robert, 1905-1986",,"RKO Radio Pictures|~|Banks, Polan, 1906-1984",,,RKO Radio Pictures,,My Forbidden Past (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 642_ 12_ 2,1 photograph : b&w,8 x 10 in.,"Lucile Watson, Robert Mitchum and Ava Gardner in My Forbidden Past",1949-10-03/1949-11-16,,[between 3 Oct and 16 Nov 1949],"left to right in foreground: Lucille Watson, Robert Mitchum, Ava Gardner",,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqhj/0k66vd2k,ark:/21198/zz001nmqhj,,,Page,mpstills/masters/21198-zz001nmqhj_1692612_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmqhj/f4834837,ark:/21198/zz001nmqhj,,,Page,mpstills/masters/21198-zz001nmqhj_1692615_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzgd,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmzgd%2Fpv95m03t,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"Naughty Ninties, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 502_ 9_ 1,1 photograph : b&w,8 x 10 in.,"NAUGHTY NINTIES, THE",,,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzgd/pv95m03t,ark:/21198/zz001nmzgd,,,Page,mpstills/masters/21198-zz001nmzgd-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzgd/zb72m60g,ark:/21198/zz001nmzgd,,,Page,mpstills/masters/21198-zz001nmzgd_1692966_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzhx,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmzhx%2Fnp58t09p,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,"Naughty Ninties, The (Motion picture)",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 502_ 9_ 2,1 photograph : b&w,8 x 10 in.,"NAUGHTY NINTIES, THE",,,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzhx/6j87n52r,ark:/21198/zz001nmzhx,,,Page,mpstills/masters/21198-zz001nmzhx_1692960_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzhx/np58t09p,ark:/21198/zz001nmzhx,,,Page,mpstills/masters/21198-zz001nmzhx_1692957_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzjf,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmzjf%2Fnt629t5r,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Nevada (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 748_ 14_ 1,1 photograph : b&w,8 x 10 in.,NEVADA,,,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzjf/nt629t5r,ark:/21198/zz001nmzjf,,,Page,mpstills/masters/21198-zz001nmzjf-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzjf/v032ft17,ark:/21198/zz001nmzjf,,,Page,mpstills/masters/21198-zz001nmzjf_1692975_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzkz,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmzkz%2F90146g5g,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Nevada (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 748_ 14_ 2,1 photograph : b&w,8 x 10 in.,NEVADA,,,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzkz/90146g5g,ark:/21198/zz001nmzkz,,,Page,mpstills/masters/21198-zz001nmzkz-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzkz/qz78v78x,ark:/21198/zz001nmzkz,,,Page,mpstills/masters/21198-zz001nmzkz-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzmg,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nmzmg%2F8q004z7x,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Nevada (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 748_ 14_ 3,1 photograph : b&w,8 x 10 in.,NEVADA,,,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzmg/8q004z7x,ark:/21198/zz001nmzmg,,,Page,mpstills/masters/21198-zz001nmzmg-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nmzmg/dm73vx38,ark:/21198/zz001nmzmg,,,Page,mpstills/masters/21198-zz001nmzmg-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv1p,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nnv1p%2Fj727ph5z,individuals,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"O'Keefe, Dennis, $d 1908-1968|~|Whelan, Arleen, $d 1914-1993","Foster, Lewis R.",,Paramount Pictures Corporation|~|Pine-Thomas Productions,,,Paramount Pictures Corporation,,Passage West (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 804_ 14_ 2,1 photograph : b&w,8 x 10 in.,Dennis O'Keefe and Arleen Whelan in Passage West,1950-06/1950-08,"Text from back of photograph:Dennis O'Keefe - Arleen Whelan in ""PASSAGE WEST"" Paramount 1951|~|""PASSAGE WEST""A Pine-Thomas ProductionA Paramount PictureColor by Technicolor",between June and August 1950,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv1p/j727ph5z,ark:/21198/zz001nnv1p,,,Page,mpstills/masters/21198-zz001nnv1p-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nnv1p/mb44fr9q,ark:/21198/zz001nnv1p,,,Page,mpstills/masters/21198-zz001nnv1p-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4qb,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np4qb%2F2b83d729,individuals,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Morgan, Dennis, $d 1908-1994|~|Scott, Zachary, $d 1914-1965","Windust, Bretaigne, $d 1906-1960",,Warner Bros. Pictures,,,Warner Bros. Pictures,,Pretty Baby (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 764_ 14_ 4,1 photograph : b&w,8 x 10 in.,Zachary Scott and Dennis Morgan in Pretty Baby,1949-12/1950-02,"WARNER BROS. PICTURES INC. Presents ""PRETTY BABY"" starring DENNIS MORGAN - BETSY DRAKE|~|Text from back of photograph:Zachary Scott and Dennis Morgan in Warner Bros comedy ""Pretty Baby"" at Warners Hollywood Downtown & Wiltern",between December 1949 and February 1950,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4qb/2b83d729,ark:/21198/zz001np4qb,,,Page,mpstills/masters/21198-zz001np4qb-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,failed,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np4qb/w3690c20,ark:/21198/zz001np4qb,,,Page,mpstills/masters/21198-zz001np4qb-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,failed,
